Sunrisers Hyderabad,13675
Mumbai Indians,24163
Royal Challengers Bangalore,23107
Kings XI Punjab,22904
Delhi Daredevils,21811
Rising Pune Supergiant,4183
Kolkata Knight Riders,21603
Gujarat Lions,4544
Chennai Super Kings,20899
Rajasthan Royals,17703
Deccan Chargers,11463
Kochi Tuskers Kerala,1901
Pune Warriors,6358
